"id_policy","id_person","product","benefit_amount","benefit_currency","start_date","n-year","h-payment","birthday","gender","int_rate","base_date","x","x_base","maturity_date","t","apv_ben_0","apv_ann_0","pure_premium","gross_premium","apv_ben_t","apv_ann_t","res_t","apv_ben_exp_t","apv_ann_exp_t","res_exp_t"
"P10001","ID0026","n-year endowment insurance",1e+06,"MXN",2018-11-13,20,NA,1970-08-09,"m",0.05,2025-12-31,48,55,2038-11-13,7,444411.908296276,11.4180707974532,38921.8035322922,51895.74,576997.680510289,8.69481712265805,238579.703951531,563700.588332681,8.96600769698392,214727.385122174
"P10002","ID0177","h-payment years, whole life insurance",5e+05,"MXN",2025-04-04,NA,"up to 65 years of age",1998-06-06,"m",0.05,2025-12-31,26,27,NA,0,82158.3563601558,16.2161869212456,5066.44112818633,6755.25,82158.3563601558,16.2161869212456,0.0588353476632619,60341.8843236635,16.7943352145776,-24745.5653950431
"P10003","ID0579","n-year endowment insurance",1500000,"MXN",2016-05-24,15,NA,1999-11-24,"f",0.05,2025-12-31,16,26,2031-05-24,9,725229.297418269,10.6083173206372,68364.2160672761,91152.29,1120324.2414683,5.19863627219133,764923.540652821,1120435.49639955,5.19715162029144,765136.292649473
"P10004","ID0799","h-payment years, whole life insurance",2e+06,"MXN",2013-02-08,NA,"up to 65 years of age",1988-05-01,"f",0.05,2025-12-31,24,37,NA,12,207788.997916221,17.2614879236111,12037.7222888183,16050.3,342553.491044006,17.2614879236111,134764.446328755,359410.33694624,17.1101021104129,153443.63301917
"P10005","ID0867","h-payment years, whole life insurance",5e+05,"MXN",2021-11-30,NA,"up to 65 years of age",1997-12-16,"m",0.05,2025-12-31,23,28,NA,4,74053.5919799301,16.6847193648582,4438.40800438656,5917.88,85014.1624269697,16.6847193648582,10960.5371507894,62909.4896716612,17.2565780581739,-13682.2789475186
"P10006","ID0185","h-payment years, whole life insurance",2e+06,"MXN",2017-01-27,NA,"up to 65 years of age",1985-02-01,"m",0.05,2025-12-31,31,40,NA,8,389627.548330556,15.30790620904,25452.7002589331,33936.93,507787.721474152,15.30790620904,118160.215377085,402190.744827624,15.8689460572605,-1716.73881164542
"P10007","ID0039","n-year term insurance",1e+06,"MXN",2021-05-23,20,NA,1993-09-30,"m",0.05,2025-12-31,27,32,2041-05-23,4,60047.5906275576,12.3580648772861,4858.98004451523,6478.64,59360.4894634881,10.7627335863472,7064.58222209856,31056.8862883508,10.9432205152024,-22116.0033306071
"P10008","ID1003","h-payment years, whole life insurance",5e+05,"MXN",2012-06-27,NA,"up to 65 years of age",2002-05-01,"m",0.05,2025-12-31,10,23,NA,13,43745.3364453187,18.3176612090001,2388.15075495692,3184.2,74053.5919799301,18.3176612090001,30308.2693636565,53363.4062468894,18.7193219777844,8658.8574656435
"P10009","ID0468","h-payment years, whole life insurance",2500000,"MXN",2013-12-20,NA,"up to 65 years of age",1968-08-27,"m",0.05,2025-12-31,45,57,NA,12,765184.999657308,11.6182486589302,65860.6148069624,87814.15,1082037.18254589,11.6182486589302,316852.209691444,932095.647953137,12.0414702309685,139037.043141034
"P10010","ID0197","n-year term insurance",2500000,"MXN",2020-06-14,10,NA,1987-12-28,"m",0.05,2025-12-31,32,38,2030-06-14,5,97063.8079880875,7.76597225710761,12498.603494141,16664.8,64297.5287926283,4.38755064801458,9459.28826335332,33086.8796874618,4.41453372391797,-22088.6115142994
"P10011","ID0413","h-payment years, whole life insurance",1500000,"MXN",2012-06-11,NA,"up to 65 years of age",1982-07-26,"f",0.05,2025-12-31,29,43,NA,13,192149.900705752,16.4419370446201,11686.5731929453,15582.1,327515.867626946,16.4419370446201,135365.937209715,337724.085162724,16.2576228151617,147728.156811625
"P10012","ID1001","n-year term insurance",2500000,"MXN",2022-05-22,15,NA,2000-03-25,"f",0.05,2025-12-31,22,25,2037-05-22,3,27927.2190355887,10.5933181678285,2636.30513056829,3515.07,25965.6216394614,9.05108419748249,2104.22574192786,34056.7981287687,9.03771926503859,10230.6362360493
"P10013","ID0512","n-year endowment insurance",5e+05,"MXN",2010-09-13,15,NA,2003-09-29,"m",0.05,2025-12-31,6,22,2025-09-13,15,241033.148378095,10.6373956566802,22659.0376213682,30212.05,0,0,0,0,0,0
"P10014","ID0539","n-year endowment insurance",2500000,"MXN",2020-01-01,15,NA,1981-03-23,"m",0.05,2025-12-31,38,44,2035-01-01,5,1262341.71430429,10.1708609185679,124113.5558151,165484.74,1572685.78430297,7.62095888587013,626821.484468785,1556357.82596055,7.75385262987282,593999.611120932
"P10015","ID0250","h-payment years, whole life insurance",5e+05,"MXN",2019-11-05,NA,"up to 65 years of age",1991-05-18,"m",0.05,2025-12-31,28,34,NA,6,87958.9937122599,15.8743184605118,5540.96189584848,7387.95,107813.728070649,15.8743184605118,19854.7247678956,83076.9315045204,16.4455049001207,-8046.99444061435
"P10016","ID0363","h-payment years, whole life insurance",1e+06,"MXN",2025-08-05,NA,"up to 65 years of age",1963-03-23,"m",0.05,2025-12-31,62,62,NA,0,495969.885408206,2.70814239308028,183140.253878631,244187.01,495969.885408206,2.70814239308028,-0.00980718235950917,431923.408884429,2.73092557822851,-68219.004725676
"P10017","ID0973","n-year term insurance",2e+06,"MXN",2014-11-08,20,NA,2006-04-15,"m",0.05,2025-12-31,8,19,2034-11-08,11,29951.9372112802,12.7145334340059,2355.72444452988,3140.97,34513.9575583451,7.23353293491848,17473.7251014019,14514.7148004544,7.26881735571329,-2608.6381368767
